Product Name_Flipkart,Product Name_Amazon,Product Link_Flipkart,Product Link_Amazon,Product Price_Flipkart,Product Price_Amazon,Price Difference
"vivo T3 5G (Cosmic Blue, 128 GB)","Vivo T3x 5G (Crimson Bliss, 128 GB) (6 GB RAM)",https://www.flipkart.com/vivo-t3-5g-cosmic-blue-128-gb/p/itm69b3c5633378f?pid=MOBGYT3VZAAFCC8S&lid=LSTMOBGYT3VZAAFCC8SWHSYDH&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBGYT3VZAAFCC8S.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3x-Crimson-Bliss-128/dp/B0D73N7H3W/ref=mp_s_a_1_2?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-2,18499.0,14419.0,4080.0
"vivo T3 5G (Cosmic Blue, 256 GB)","Vivo T3x 5G (Crimson Bliss, 128 GB) (6 GB RAM)",https://www.flipkart.com/vivo-t3-5g-cosmic-blue-256-gb/p/itm69b3c5633378f?pid=MOBGYT3VJDYMMFTZ&lid=LSTMOBGYT3VJDYMMFTZEKZWOL&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBGYT3VJDYMMFTZ.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3x-Crimson-Bliss-128/dp/B0D73N7H3W/ref=mp_s_a_1_2?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-2,20499.0,14419.0,6080.0
"vivo T3 5G (Crystal Flake, 128 GB)","Vivo T3x 5G (Celestial Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/vivo-t3-5g-crystal-flake-128-gb/p/itm69b3c5633378f?pid=MOBGYT3VN2J3GM45&lid=LSTMOBGYT3VN2J3GM45LBHTKC&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBGYT3VN2J3GM45.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3x-Celestial-Green-128/dp/B07WDKKJWK/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-5,18499.0,13980.0,4519.0
"vivo T3 5G (Crystal Flake, 256 GB)","Vivo T3x 5G (Celestial Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/vivo-t3-5g-crystal-flake-256-gb/p/itm69b3c5633378f?pid=MOBGYT3VT78XZHKS&lid=LSTMOBGYT3VT78XZHKSVC0OV2&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBGYT3VT78XZHKS.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3x-Celestial-Green-128/dp/B07WDKKJWK/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-5,20499.0,13980.0,6519.0
"vivo T3 Lite 5G (Majestic Black, 128 GB)","Vivo T3 Lite 5G Smartphone (Majestic Black, 6GB Ram 128GB Storage)",https://www.flipkart.com/vivo-t3-lite-5g-majestic-black-128-gb/p/itm977c89a44d373?pid=MOBHFTYB4ZHAAGFS&lid=LSTMOBHFTYB4ZHAAGFS9V33ZB&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBHFTYB4ZHAAGFS.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3-Lite-Smartphone-Majestic/dp/B0D93GGMYT/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-4,10999.0,11649.0,-650.0
"vivo T3 Lite 5G (Vibrant Green, 128 GB)","Vivo T3 Lite 5G Smartphone (Vibrant Green, 6GB Ram 128GB Storage)",https://www.flipkart.com/vivo-t3-lite-5g-vibrant-green-128-gb/p/itm977c89a44d373?pid=MOBHFTYBGJ7RW9ZQ&lid=LSTMOBHFTYBGJ7RW9ZQRJTON0&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBHFTYBGJ7RW9ZQ.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-Smartphone-Vibrant-Green-Storage/dp/B0D93HRDD3/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-1,10999.0,11447.0,-448.0
"vivo T3 Pro 5G (Emerald Green, 128 GB)","Vivo T3x 5G (Celestial Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/vivo-t3-pro-5g-emerald-green-128-gb/p/itmcf52c1fcffbf3?pid=MOBH3XHRHBUB7Y7U&lid=LSTMOBH3XHRHBUB7Y7UK96MD9&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBH3XHRHBUB7Y7U.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3x-Celestial-Green-128/dp/B07WDKKJWK/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-5,24999.0,13980.0,11019.0
"vivo T3 Pro 5G (Emerald Green, 256 GB)","Vivo T3x 5G (Celestial Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/vivo-t3-pro-5g-emerald-green-256-gb/p/itmcf52c1fcffbf3?pid=MOBH3XHRUQMKBEZX&lid=LSTMOBH3XHRUQMKBEZXUBLAII&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBH3XHRUQMKBEZX.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3x-Celestial-Green-128/dp/B07WDKKJWK/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-5,26999.0,13980.0,13019.0
"vivo T3 Pro 5G (Sandstone Orange, 128 GB)","Vivo T3 Lite 5G Smartphone (Vibrant Green, 6GB Ram 128GB Storage)",https://www.flipkart.com/vivo-t3-pro-5g-sandstone-orange-128-gb/p/itmcf52c1fcffbf3?pid=MOBH3XHRQD5Q3VRH&lid=LSTMOBH3XHRQD5Q3VRHXVLXBF&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBH3XHRQD5Q3VRH.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-Smartphone-Vibrant-Green-Storage/dp/B0D93HRDD3/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-1,24999.0,11447.0,13552.0
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)","Vivo V40 5G Smartphone (Lotus Purple, 8GB RAM, 256GB Storage)",https://www.flipkart.com/vivo-t3-pro-5g-sandstone-orange-256-gb/p/itmcf52c1fcffbf3?pid=MOBH3XHR46RHEMVH&lid=LSTMOBH3XHR46RHEMVHQKBFEZ&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBH3XHR46RHEMVH.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-Smartphone-Lotus-Purple-Storage/dp/B0DCGNMXDD/ref=mp_s_a_1_16?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-16,26999.0,34999.0,-8000.0
"vivo T3 Ultra (Frost Green, 128 GB)","Vivo T3x 5G (Celestial Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/vivo-t3-ultra-frost-green-128-gb/p/itme360ff5b7dbab?pid=MOBH4EACPTFX6RNH&lid=LSTMOBH4EACPTFX6RNHWNMW9H&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBH4EACPTFX6RNH.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3x-Celestial-Green-128/dp/B07WDKKJWK/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-5,31999.0,13980.0,18019.0
"vivo T3 Ultra (Lunar Gray, 128 GB)","Vivo T3X 5G (Crimson Bliss, 4GB Ram, 128GB Storage)",https://www.flipkart.com/vivo-t3-ultra-lunar-gray-128-gb/p/itme360ff5b7dbab?pid=MOBH4EADEDFW9BBK&lid=LSTMOBH4EADEDFW9BBK9ITVTG&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_thOAmu-uu3NZqoFgtJuB8micieEJMozXMkn6GMRqwmh7PN0S5pC5ApziQU3c5QfS4FR0PCxIVdZUeuF_HKbzh_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-Crimson-Bliss-128GB-Storage/dp/B0D95L61LG/ref=mp_s_a_1_6?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-6,31999.0,12490.0,19509.0
"vivo T3 Ultra (Lunar Gray, 256 GB)","Vivo T3x 5G (Celestial Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/vivo-t3-ultra-lunar-gray-256-gb/p/itme360ff5b7dbab?pid=MOBH4EADRB8SXRWF&lid=LSTMOBH4EADRB8SXRWFUEP7F9&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBH4EADRB8SXRWF.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3x-Celestial-Green-128/dp/B07WDKKJWK/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-5,35999.0,13980.0,22019.0
"vivo T3x 5G (Celestial Green, 128 GB)","Vivo T3x 5G (Celestial Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNERKDV5ECF&lid=LSTMOBGZRNERKDV5ECFZ1LKDA&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBGZRNERKDV5ECF.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3x-Celestial-Green-128/dp/B07WDKKJWK/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-5,13999.0,13980.0,19.0
"vivo T3x 5G (Crimson Bliss, 128 GB)","Vivo T3x 5G (Crimson Bliss, 128 GB) (6 GB RAM)",https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEPA4FFHCV&lid=LSTMOBGZRNEPA4FFHCVQ1YECQ&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBGZRNEPA4FFHCV.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3x-Crimson-Bliss-128/dp/B0D73N7H3W/ref=mp_s_a_1_2?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-2,13999.0,14419.0,-420.0
"vivo T3x 5G (Sapphire Blue, 128 GB)","Vivo T3x 5G (Celestial Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/vivo-t3x-5g-sapphire-blue-128-gb/p/itm263ed44f56cd5?pid=MOBH4EAC8GFJXHHP&lid=LSTMOBH4EAC8GFJXHHPMYAKQS&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBH4EAC8GFJXHHP.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,https://www.amazon.in/Vivo-T3x-Celestial-Green-128/dp/B07WDKKJWK/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-5,13999.0,13980.0,19.0
